id,candidate,office,state,category,policy_title,description,bill_references,claims_empirical,equity_dimension,geographic_scope,data_sources_needed
FH-EDU-001,Francesca Hong,Governor,WI,Schools,Free school meals,State-funded free healthy school meals for all children; supports WI farmers,AB48 (2025),Supports Wisconsin farmers,food_access,statewide,"school_meal_participation,farm_revenue_local,food_insecurity_rates"
FH-EDU-002,Francesca Hong,Governor,WI,Schools,Universal childcare,Guarantee affordable high-quality childcare for all families; no out-of-pocket costs,,Childcare deserts correlate with absence,childcare_access,statewide,"childcare_providers,childcare_costs,absence_rates"
FH-EDU-003,Francesca Hong,Governor,WI,Schools,Fully funding public schools,Restore education funding; Tax the Rich shifts property to income tax; reduce property taxes up to 44%,,Property taxes up to 44% reducible; 15 years of cuts,education_funding,statewide,"school_funding_per_pupil,property_tax_rates,income_tax_brackets"
FH-EDU-004,Francesca Hong,Governor,WI,Schools,Rolling back voucher laws,Eliminate private school voucher programs lacking transparency,,Voucher schools use discriminatory admission,education_equity,statewide,"voucher_enrollment,public_school_funding,discrimination_complaints"
FH-EDU-005,Francesca Hong,Governor,WI,Schools,Special education,Increase state special ed support above 40% funding,,WI funds ~40% of special ed; districts cover $1B+,education_funding,statewide,"special_ed_funding_pct,special_ed_costs,district_levy"
FH-EDU-006,Francesca Hong,Governor,WI,Schools,Higher education,Fully fund public universities and tech colleges; restore collective bargaining,,,education_access,statewide,"uw_funding_per_student,tech_college_enrollment"
FH-WRK-001,Francesca Hong,Governor,WI,Workers,Guaranteed paid leave,Universal paid leave for all workers including self-employed,AB1156 (2023),,labor_rights,statewide,"paid_leave_access_pct,employer_size_distribution"
FH-WRK-002,Francesca Hong,Governor,WI,Workers,Fair wages,$20 minimum wage indexed to cost of living,,$20 minimum wage,income_equity,statewide,"median_wage_by_county,cost_of_living_index,poverty_rate"
FH-WRK-003,Francesca Hong,Governor,WI,Workers,Gig workers are employees,Protect gig worker rights; veto misclassification legislation,,,labor_rights,statewide,"gig_worker_count,misclassification_complaints"
FH-HC-001,Francesca Hong,Governor,WI,Healthcare,Expanded BadgerCare for all,Expand Medicaid; Basic Health Plan; public option,,Hospital prices up to 4x Medicare rates,health_access,statewide,"uninsured_rate,medicaid_enrollment,hospital_price_ratio"
FH-HC-002,Francesca Hong,Governor,WI,Healthcare,Pulling down healthcare costs,Regulate hospital pricing; address 4x Medicare rate gouging,,Hospitals charge up to 4x Medicare,health_access,statewide,"hospital_prices,medicare_comparison,insurance_premiums"
FH-HC-003,Francesca Hong,Governor,WI,Healthcare,Insurance claim denial reform,Reform insurance claim denial processes,,,health_access,statewide,"claim_denial_rates,appeal_success_rates"
FH-HC-004,Francesca Hong,Governor,WI,Healthcare,Large hospitals pay fair share,Tax multi-billion-dollar tax-exempt hospital systems,,,economic_equity,statewide,"hospital_revenue,tax_exempt_status,community_benefit_spending"
FH-HC-005,Francesca Hong,Governor,WI,Healthcare,Lowering prescription drug costs,State purchasing pool to negotiate drug prices,,,health_access,statewide,"drug_price_index,state_purchasing_volume"
FH-HC-006,Francesca Hong,Governor,WI,Healthcare,LGBTQ healthcare access,Protect gender-affirming care as medically necessary,AB104 (2025),,health_equity,statewide,"gender_affirming_care_providers,insurance_coverage_gaps"
FH-HSG-001,Francesca Hong,Governor,WI,Housing,Financing affordable construction,Public bank plan for affordable housing construction,,,housing_affordability,statewide,"housing_starts,affordable_unit_ratio,construction_costs"
FH-HSG-002,Francesca Hong,Governor,WI,Housing,Zoning reform,Affordable housing zoning overlay,,,housing_supply,statewide,"zoning_restrictions,housing_density,permit_rates"
FH-HSG-003,Francesca Hong,Governor,WI,Housing,Home ownership,Support community land trusts and limited-equity co-ops,,,housing_affordability,statewide,"homeownership_rate,clt_inventory,median_home_price"
FH-HSG-004,Francesca Hong,Governor,WI,Housing,Protecting renters,Bolster rental unit regulations; consistent enforcement,,,housing_stability,statewide,"renter_pct,eviction_rates,cost_burden"
FH-HSG-005,Francesca Hong,Governor,WI,Housing,Right to counsel,Statewide Right to Counsel for eviction proceedings,,,eviction_prevention,statewide,"eviction_filings,counsel_access,eviction_outcomes"
FH-TAX-001,Francesca Hong,Governor,WI,Taxes,Property tax reform,Cut property taxes ~41% by increasing top income tax bracket,,41% property tax cut; hundreds of school referendums,economic_equity,statewide,"property_tax_rates,income_tax_rates,school_referendum_results"
FH-TAX-002,Francesca Hong,Governor,WI,Taxes,Local revenue options,Remove state restrictions on local funding options,,,fiscal_autonomy,statewide,"shared_revenue_allocation,levy_limits,local_revenue_sources"
FH-CARE-001,Francesca Hong,Governor,WI,Care Economy,Medicaid payments,Increase Medicaid reimbursement rates,,,health_access,statewide,"medicaid_reimbursement_rates,provider_participation"
FH-CARE-002,Francesca Hong,Governor,WI,Care Economy,Hospital and nursing home staffing,Staffing requirements for care facilities,AB489 (2023),Understaffing linked to worse outcomes,care_quality,statewide,"nurse_patient_ratios,staffing_levels,quality_scores"
FH-CARE-003,Francesca Hong,Governor,WI,Care Economy,Supporting childcare providers,Fair wages for childcare workers alongside universal program,,,childcare_access,statewide,"childcare_worker_wages,provider_count,turnover_rates"
FH-TRANSIT-001,Francesca Hong,Governor,WI,Cities Towns Transit,Revenue sharing,Reform state-local revenue sharing model; lift levy restrictions,,,fiscal_equity,statewide,"shared_revenue_per_capita,levy_limit_impact,service_cuts"
FH-TRANSIT-002,Francesca Hong,Governor,WI,Cities Towns Transit,Regional Transit Authorities,Enable RTAs for regional transit collaboration,,,transit_access,statewide,"transit_coverage_pct,transit_ridership,service_hours"
FH-TRANSIT-003,Francesca Hong,Governor,WI,Cities Towns Transit,Safe complete streets,Reverse complete streets repeal,,,transit_safety,statewide,"pedestrian_fatalities,bike_fatalities,road_design_scores"
FH-TRANSIT-004,Francesca Hong,Governor,WI,Cities Towns Transit,Transit-oriented development,Integrate housing and transportation planning,,,housing_transit,statewide,"transit_proximity,housing_density,commute_times"
FH-TRANSIT-005,Francesca Hong,Governor,WI,Cities Towns Transit,Rural microtransit,State-supported microtransit pilots,,,transit_access,statewide_rural,"rural_transit_coverage,population_density,car_ownership"
FH-TRANSIT-006,Francesca Hong,Governor,WI,Cities Towns Transit,Paratransit and medical transport,Fix fragmented medical transit,,,health_access,statewide,"missed_appointments,paratransit_coverage,medicaid_transport"
FH-TRANSIT-007,Francesca Hong,Governor,WI,Cities Towns Transit,Stable rural transit funding,Reliable rural transit and intercity bus,,,transit_access,statewide_rural,"rural_transit_funding,intercity_routes,population_served"
FH-TRANSIT-008,Francesca Hong,Governor,WI,Cities Towns Transit,Public groceries,Enable publicly-owned grocery stores in food deserts,AB1221 (2025),,food_access,statewide,"food_desert_tracts,grocery_closures,usda_food_access"
FH-ENV-001,Francesca Hong,Governor,WI,Environment,Data center moratorium,Moratorium on data centers; union labor and clean energy required,,,environmental_justice,statewide,"data_center_proposals,energy_consumption,job_creation"
FH-ENV-002,Francesca Hong,Governor,WI,Environment,Climate Accountability Act,60% renewable by 2030; 100% clean by 2050; EV rebates; green bank,AB145 (2025),CT green bank generated $3B investment,climate_equity,statewide,"renewable_pct,ev_adoption,carbon_emissions"
FH-ENV-003,Francesca Hong,Governor,WI,Environment,PFAS,Comprehensive PFAS testing and cleanup; polluter-pays,,,environmental_health,statewide,"pfas_sites,contamination_levels,affected_population"
