id,candidate,office,state,category,policy_title,description,bill_references,claims_empirical,equity_dimension,geographic_scope,data_sources_needed
ZM-HSG-001,Zohran Mamdani,Mayor,NY,Housing,Rent freeze for stabilized tenants,Freeze rents for roughly two million rent-stabilized tenants to prevent displacement and housing instability,,62% of New Yorkers cannot meet true cost of living,housing_affordability,statewide,"median_household_income,housing_units_cost_burden,renter_cost_burden"
ZM-HSG-002,Zohran Mamdani,Mayor,NY,Housing,200K affordable housing units,Build 200000 units of affordable housing through not-for-profit developers and community land trusts,,Housing vacancy rate at historic lows; waitlists exceed 250000 families,housing_supply,statewide,"housing_units_cost_burden,total_population,poverty_rate"
ZM-HSG-003,Zohran Mamdani,Mayor,NY,Housing,End luxury tax breaks,End tax breaks for luxury condo projects; redirect city resources toward community land trusts and limited-equity cooperatives,,Luxury developments receive billions in tax abatements while affordable units decline,fiscal_equity,statewide,"median_household_income,owner_cost_burden,poverty_rate"
ZM-HSG-004,Zohran Mamdani,Mayor,NY,Housing,Just Home supportive housing,Create 83 new apartments for formerly incarcerated New Yorkers with complex medical needs at Bronx hospital grounds,,Recidivism drops 40% with stable housing; ER visits decrease significantly,housing_stability,statewide,"poverty_rate,total_population,uninsured_rate"
ZM-HEALTH-001,Zohran Mamdani,Mayor,NY,Healthcare,Universal free childcare,Expand free and low-cost childcare citywide in partnership with state government; goal of universal free childcare,,Childcare costs exceed college tuition in most US metro areas,childcare_access,statewide,"poverty_rate,total_population,median_household_income"
ZM-HEALTH-002,Zohran Mamdani,Mayor,NY,Healthcare,Baby baskets for new families,Provide universal baby baskets with essential supplies and resources for all newborn families,,Infant mortality correlates with poverty rate at county level,health_equity,statewide,"total_population,poverty_rate,uninsured_rate"
ZM-TRANSIT-001,Zohran Mamdani,Mayor,NY,Transit,Free city buses,Eliminate bus fares through expanded MTA funding; speed up bus service to reduce commute times,,Low-income workers disproportionately rely on buses; fare costs consume 5-10% of minimum wage income,transit_access,statewide,"poverty_rate,total_population,median_household_income"
ZM-TRANSIT-002,Zohran Mamdani,Mayor,NY,Transit,Congestion pricing support,Support congestion pricing to fund mass transit improvements and reduce emissions,,Traffic congestion costs workers $1500+ annually in lost productivity,transit_access,statewide,"poverty_rate,median_household_income,total_population"
ZM-ENV-001,Zohran Mamdani,Mayor,NY,Environment,All-Electric Buildings Act,Support transition to all-electric buildings; oppose gas-fired power plant expansion,,Buildings account for 70% of NYC greenhouse gas emissions,environmental_health,statewide,"total_population,poverty_rate,uninsured_rate"
ZM-ENV-002,Zohran Mamdani,Mayor,NY,Environment,Green schools retrofit,Retrofit schools with solar panels and create green schoolyards as community resilience hubs,,Schools serve as emergency shelters; green infrastructure reduces heat island effect,climate_equity,statewide,"total_population,poverty_rate,median_household_income"
ZM-ENV-003,Zohran Mamdani,Mayor,NY,Environment,Oppose fossil fuel expansion,Block Astoria Energy gas plant expansion; transition to renewable energy sources,,Asthma rates in EJ communities are 3x the citywide average,environmental_justice,statewide,"total_population,poverty_rate,uninsured_rate"
ZM-LABOR-001,Zohran Mamdani,Mayor,NY,Labor,Living wage increase,Advocate for $25 minimum wage to match true cost of living in urban areas,,62% of residents cannot meet true cost of living per mayoral report,income_equity,statewide,"median_household_income,poverty_rate,total_population"
ZM-EQUITY-001,Zohran Mamdani,Mayor,NY,Racial Equity,Citywide racial equity plan,Release preliminary citywide racial equity plan with true cost of living measure,,Racial wealth gap: median Black household wealth is 1/10 of white households,civil_rights,statewide,"pop_black,pop_hispanic_latino,pop_white_non_hispanic,poverty_rate"
ZM-EQUITY-002,Zohran Mamdani,Mayor,NY,Racial Equity,True cost of living measure,Develop and publish true cost of living measure showing 62% of residents cannot meet basic needs,,Federal poverty line underestimates actual hardship by 40-60%,economic_equity,statewide,"poverty_rate,median_household_income,total_population"
ZM-EDU-001,Zohran Mamdani,Mayor,NY,Education,Universal pre-K expansion,Expand universal pre-K access and improve quality of early childhood education programs,,Pre-K access reduces achievement gap by 25-40% for low-income children,education_access,statewide,"poverty_rate,total_population,median_household_income"
